# Resource descriptions for the manual page and the web reference. One row per
# resource or numbered family. Names, classes, and literal defaults are checked
# against the widget's resource table; descriptions and types are by hand.
# Columns:
# scope	name	class	type	default	range	description
vt100	rightScrollBar	RightScrollBar	boolean	false		Place the scrollbar on the right instead of the left.
vt100	scrollBarBorder	ScrollBarBorder	dimension	1		Border width of the scrollbar in pixels.
vt100	scrollTtyOutput	ScrollCond	boolean	true		Jump to the live bottom when output arrives. When false the viewport keeps its distance from the bottom as new rows arrive.
vt100	scrollKey	ScrollCond	boolean	false		Jump to the live bottom when a key is pressed.
vt100	multiClickTime	MultiClickTime	integer	250		Maximum interval in milliseconds between clicks of a double or triple click.
vt100	charClass	CharClass	string	(unset)		Character classes for double-click word selection, in xterm's low[-high]:class form separated by commas. Letters, digits, and underscore share class 48 by default; punctuation characters each form their own class.
vt100	selectToClipboard	SelectToClipboard	boolean	false		Make the symbolic SELECT selection name mean CLIPBOARD instead of PRIMARY, for both copying and pasting.
vt100	allowWindowOps	AllowWindowOps	boolean	false		The blanket permission for window operations that disallowedWindowOps would otherwise refuse, effective only while allowSendEvents is false. Revenant consults it for OSC 52 selection access (GetSelection, SetSelection), the XTWINOPS title reports and title stack (GetIconTitle, GetWinTitle, PushTitle, PopTitle) and the CSI 14/16/18 t size reports; other xterm window operations are not implemented. The Allow Window Ops menu entry changes it live, and is insensitive while allowSendEvents is true.
vt100	disallowedWindowOps	DisallowedWindowOps	string	GetIconTitle,GetWinTitle,GetChecksum,SetSelection,GetSelection,SetXprop		Comma-separated xterm window-operation names refused unless allowWindowOps is true and allowSendEvents is false; names are case-insensitive, accept shell-style * and ? wildcards, and a ~ prefix re-allows matches. Revenant consults GetSelection and SetSelection (OSC 52), GetIconTitle and GetWinTitle (XTWINOPS 20/21 reports), PushTitle and PopTitle (XTWINOPS 22/23), GetWinSizePixels and GetWinSizeChars (CSI 14/18 t), and GetScreenSizeChars, which gates CSI 16 t as in xterm; xterm's numeric codes 14, 18, 19 and 20-23 are also accepted, and 16 names nothing. The xterm default leaves OSC 52 and the title reports disabled while the title stack stays available.
vt100	maxStringParse	MaxStringParse	integer	600000		Largest control string, in bytes, that the parser accepts. Revenant enforces it only for OSC 52 selection writes, measuring the base64 payload as xterm would; libghostty bounds every other control string itself.
vt100	internalBorder	BorderWidth	dimension	2		Padding in pixels between the text and the window edge.
vt100	columns	Columns	integer	80		Initial number of columns when no geometry is given.
vt100	rows	Rows	integer	24		Initial number of rows when no geometry is given.
vt100	geometry	Geometry	string	(unset)		Initial size in characters and position in pixels, in the standard X form WIDTHxHEIGHT+X+Y, as in xterm. -geometry sets it. The size replaces columns and rows, and a zero size becomes one; negative offsets count from the right and bottom edges of the screen. When it is unset, the application geometry resource is read the same way, whereas xterm ignores the size given there.
vt100	alwaysHighlight	AlwaysHighlight	boolean	false		Draw a filled block cursor even when the window does not have focus.
vt100	cursorBlink	CursorBlink	string	false		Configured cursor blink operand: false, true, always, or never. false and true combine with the application's DECSCUSR or mode 12 request under cursorBlinkXOR; always and never ignore the application. A reset restores this value.
vt100	cursorBlinkXOR	CursorBlinkXOR	boolean	true		Combine the configured and application blink states with exclusive or (true) or inclusive or (false), as in xterm.
vt100	cursorUnderLine	CursorUnderLine	boolean	false		Start with an underline cursor instead of a block; -uc and +uc set it. It takes precedence over cursorBar, and DECSCUSR 0, an omitted DECSCUSR parameter, or a full reset returns to it (xterm's CSI 7 SP q is not recognized). Blink is controlled separately by cursorBlink.
vt100	forceBoxChars	ForceBoxChars	boolean	false		Draw supported procedural terminal glyphs from cell geometry instead of the font: box and block elements, Braille, DEC scan lines, terminal corner triangles, standardized legacy-computing symbols, and selected Powerline separators. +fbx sets it and -fbx clears it, as in xterm. When false the Xft path uses the primary face's own glyph and draws procedurally only when that face lacks the character; the bitmap path always draws supported ranges procedurally. The font menu's Procedural Glyphs entry and set-font-linedrawing() change it at runtime.
vt100	cursorBar	CursorBar	boolean	false		Start with a bar cursor instead of a block; -barc and +barc set it. cursorUnderLine wins when both are true, and DECSCUSR 0 or a full reset returns to the configured shape.
vt100	answerbackString	AnswerbackString	string			Text sent verbatim to the application when it writes ENQ (0x05). The default is empty, which sends nothing.
vt100	cursorOnTime	CursorOnTime	integer	600		Milliseconds a blinking cursor remains visible.
vt100	cursorOffTime	CursorOffTime	integer	300		Milliseconds a blinking cursor remains hidden.
vt100	copyFlashDuration	CopyFlashDuration	integer	0		Milliseconds that text just copied by a selection gesture flashes before returning to the ordinary selection highlight. 0 disables the flash. A new selection, losing or replacing the selection, and an application's OSC 52 write never start or extend it; the copied bytes are unchanged.
vt100	copyFlashColor	CopyFlashColor	color			Background color of copied cells while copyFlashDuration runs. Empty by default, which shows the copied cells in their unselected colors for the flash instead.
application	termName	TermName	string	xterm-256color		Terminal name placed in the child's TERM and reported for an XTGETTCAP TN query, so both always agree; -tn sets it. Names over 128 bytes still set TERM but leave TN unanswered.
application	sameName	SameName	boolean	true		Skip a title or icon-name update that repeats the label last requested, so the window manager sees no redundant property change. The comparison is with the last request, not the live property, as in xterm, so a label another client changed is not rewritten by the same request. -samename and +samename set it.
application	hold	Hold	boolean	false		Keep the window and its last output after the child exits, until the user closes it, as xterm -hold does. Input typed afterwards is discarded, and the terminal still exits with status 0. -hold and +hold set it.
application	pipeCommandOutput	PipeCommandOutput	string			Shell command started by pipe-command-output() (Ctrl+Shift+G by default) with the last completed command's output on its stdin, in the shell's last reported directory. Unset by default; the output is data and is never executed.
application	menuLocale	MenuLocale	string	C		Locale under which the popup menus are created, so bitmap menu fonts work on UTF-8 desktops without charset warnings.
application	logLevel	LogLevel	string	warning		Minimum severity written to standard error: debug, info, warning, or error.
application	debug	Debug	boolean	false		Compatibility alias: when logLevel is unset, true selects the debug level.
application	reportConfig	ReportConfig	boolean	false		Print the resolved configuration report and exit instead of opening a window. Normally set with -report-config.
shell	title	Title	string	program name		Window title. Applications may change it at run time with OSC 0 or OSC 2.
shell	iconName	IconName	string	program name		Icon name shown by the window manager.
shell	iconGeometry	IconGeometry	string	(unset)		Preferred position of the icon.
shell	iconic	Iconic	boolean	false		Start iconified.
shell	borderColor	BorderColor	color	XtDefaultForeground		Colour of the window border drawn by the shell.
shell	borderWidth	BorderWidth	dimension	0		Width of the window border drawn by the shell.
vt100	allowTitleOps	AllowTitleOps	boolean	true		Allow application title changes and application of saved title/icon labels on pop. The Allow Title Ops menu and the allow-title-ops(on|off|toggle) action change this live. While allowSendEvents is true no label changes, whatever this value, and the menu entry is insensitive; the action still changes the configured value. Title reports and stack operations separately consult Window Ops. OSC 1 and the icon part of OSC 0 still lack libghostty callbacks.
vt100	allowColorOps	AllowColorOps	boolean	true		The configured blanket permission for dynamic-color operations: OSC 10-19 sets and queries, OSC 110-119 resets, and OSC 4/5 palette queries. It permits every one of them only while allowSendEvents is false; when it is false, or while allowSendEvents is true, disallowedColorOps selects which operations are refused. The Allow Color Ops menu entry and the allow-color-ops(on|off|toggle) action change the configured value live.
vt100	allowSendEvents	AllowSendEvents	boolean	false		As in xterm, true blocks Title Ops completely and blocks the blanket Color Ops permission. Only color operations not listed in disallowedColorOps stay permitted. allowTitleOps, allowColorOps and the allow-title-ops and allow-color-ops actions still change their configured values; the Allow Color Ops menu entry stays clickable, and the Allow Title Ops entry is insensitive. It also blocks the Window Ops blanket permission, so disallowedWindowOps alone decides, and the Allow Window Ops menu entry is insensitive. Unlike xterm, synthetic key and button events are accepted whatever the value, and the value is read only at startup.
vt100	disallowedColorOps	DisallowedColorOps	string	SetColor,GetColor,GetAnsiColor		Comma-separated xterm color-operation names refused unless allowColorOps is true and allowSendEvents is false: SetColor (OSC 10-19 sets and 110-119 resets), GetColor (OSC 10-19 queries), and GetAnsiColor (OSC 4/5 queries). Names are case-insensitive, accept * and ? wildcards, and a ~ prefix re-allows matches. Ordinary OSC 4 palette writes are never gated, as in xterm.
vt100	allowMouseOps	AllowMouseOps	boolean	true		Permit application mouse and focus reports. The Allow Mouse Ops menu toggles this live; disabling restores local mouse selection without changing requested modes. Named disallowedMouseOps exceptions, locator and alternate-scroll policy are not yet implemented.
vt100	allowTcapOps	AllowTcapOps	boolean	true		Permit terminal-capability operations regardless of disallowedTcapOps. The Allow Tcap Ops menu toggles this live; currently gates libghostty-generated XTGETTCAP replies, while XTSETTCAP is not implemented.
vt100	disallowedTcapOps	DisallowedTcapOps	string	SetTcap,GetTcap		Case-insensitive operation names with wildcards and tilde negation, applied when allowTcapOps is false. GetTcap gates XTGETTCAP replies; SetTcap is reserved for future XTSETTCAP support.
vt100	allowFontOps	AllowFontOps	boolean	true		Prepared permission for application OSC 50 font requests. No OSC 50 backend callback exists yet; the Allow Font Ops menu remains disabled and this resource has no font-changing effect.
vt100	disallowedFontOps	DisallowedFontOps	string	SetFont,GetFont		Prepared font-operation restrictions for SetFont and GetFont, using case-insensitive names, wildcards and tilde negation. These restrictions have no operational effect until OSC 50 is connected.
